"","DMU","YEAR","Researcher","Expenditure","Operation.expenses","SCI.paper","Non.SCI.paper","Patent.Application","Patent.Registration","Royalty.Fee","Technician","Administrator","Research.income","Research.Cost","weight.restriction"
"102","KBSI",2018,172,120476391,6605674,265,7,89,65,585170,77,48,102783190,82154879,19.31254125
"103","KERI",2018,300,125525000,8407000,104,4,215,35,4018912,106,55,122794225,99617506,132.6373597
"104","KFRI",2018,179,64473000,4663000,189,44,95,87,1339937,40,40,53704836,44101216,44.22234323
"105","KICT",2018,562,177764000,8162000,34,326,279,207,2695470,20,47,173621223,153621291,88.95940594
"106","KIER",2018,373,185068083,9182190,151,153,282,269,4131115,142,66,153224279,131393134,136.340429
"107","KIGAM",2018,351,136879915,8034315,125,200,157,153,1125851,98,73,131398717,111383099,37.15679868
"108","KIMM",2018,362,152915000,10074000,114,165,283,271,6010330,76,65,142670063,119632933,198.3607261
"109","KIMS",2018,235,99086000,4922000,211,87,151,74,2837740,44,47,96836041,82906985,93.65478548
"110","KIOM",2018,145,66566751,5318487,117,206,134,75,294440,77,51,55494002,44281678,9.717491749
"111","KIST",2018,686,352684377,17980577,778,365,849,618,2097754,88,127,303293439,254683389,69.23280528
"112","KISTI",2018,317,168260236,6728999,74,166,44,48,811541,101,54,132743158,115644385,26.78353135
"113","KIT",2018,175,65879579,7076752,91,10,27,14,400933,6,34,57520041,44239318,13.23211221
"114","KITECH",2018,944,370149369,20947351,182,354,662,476,6922945,0,184,345215602,296615192,228.480033
"115","KRIBB",2018,239,180912752,10976527,339,274,264,159,1341082,70,45,172246514,145801620,44.26013201
"116","KRICT",2018,422,179297000,11390000,190,125,442,281,4478680,135,65,160904320,136693317,147.8112211
"117","KRISS",2018,306,152941000,9371000,259,121,159,142,722108,85,63,143068820,121512481,23.83194719
"118","KRRI",2018,301,125525000,8407000,28,193,221,166,2800806,29,50,97068948,75430865,92.43584158
"119","NFRI",2018,186,177914271,4920746,116,9,33,40,322801,110,45,168620896,158388907,10.65349835
"120","WIKIM",2018,73,17179640,1570832,31,23,28,17,114803,0,30,16991994,13801885,3.788877888
